NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
39,1,3,1,3,4,3,3,3,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Servicios
40,1,3,1,3,1,1,1,3,1,3,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
42,1,2,1,3,3,2,3,3,2,3,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,3.0,,5.0,,7.0,,,,,2024,Micro,1,Comercio
43,1,3,1,4,4,3,2,2,1,2,2,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,2.0,3.0,,5.0,6.0,,,,,,2024,Micro,1,Servicios
44,1,3,1,3,3,1,2,3,1,2,3,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,,,,,,7.0,,,,,2024,Micro,1,Servicios
45,1,3,1,3,2,3,2,4,1,5,3,2,,272.0928725701944,,,,,,,,,,,,,,,,,,,ninguna,8.0,,2.0,,,,,,,,,,2024,Micro,1,Servicios
46,1,1,1,4,5,4,4,4,1,5,3,2,,103.51764705882353,,,,,,,,,,,,,,,6.0,,,,,,1.0,2.0,3.0,,5.0,6.0,,,,,,2024,Micro,1,Industria
47,1,2,1,1,3,4,2,1,1,5,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Comercio
48,1,1,3,3,4,4,4,3,2,5,3,2,,80.52941176470588,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,7.0,,,,,2024,Mediana,1,Industria
49,1,2,1,3,3,3,4,3,3,3,3,2,,209.6189111747851,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
50,1,3,1,3,3,2,3,2,2,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,7.0,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
51,1,3,1,4,3,3,2,2,3,4,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
52,1,1,1,3,1,1,1,1,3,5,3,2,,103.51764705882353,,,,,,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Industria
53,1,2,1,1,4,5,2,2,3,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,3.0,,5.0,6.0,,,,,,1.0,2.0,3.0,,,,,,,,,2024,Micro,1,Comercio
54,1,3,1,4,4,4,4,3,3,5,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
55,1,1,1,3,3,2,3,1,1,3,3,2,,103.51764705882353,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Industria
57,1,3,1,4,4,4,5,4,3,4,2,2,,272.0928725701944,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,4.0,,,,,,,,2024,Micro,1,Servicios
58,1,3,1,3,1,3,1,1,3,1,2,2,,272.0928725701944,,,,,,,,,,,2.0,3.0,,,,7.0,,,,,1.0,2.0,,,,6.0,,,,,,2024,Micro,1,Servicios
59,1,3,1,4,3,3,3,3,3,5,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,5.0,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
60,1,2,1,3,5,3,5,5,3,5,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
61,1,3,1,4,3,4,5,5,2,4,3,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
63,1,2,1,4,5,1,1,3,1,92,3,2,,209.6189111747851,,,,,,,,,,,,,,5.0,,7.0,,,,,1.0,2.0,3.0,4.0,5.0,,7.0,,,,,2024,Micro,1,Comercio
64,1,2,1,3,2,4,4,3,1,4,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,6.0,,8.0,,,,,2.0,,4.0,5.0,,,,,,,2024,Micro,1,Comercio
65,1,3,1,3,4,5,3,2,2,4,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,5.0,,,8.0,,,,1.0,2.0,3.0,4.0,,,,,,,,2024,Micro,1,Servicios
67,1,3,1,4,3,4,2,4,1,3,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,6.0,7.0,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
68,1,3,1,4,3,4,1,4,1,2,2,1,1.0,272.0928725701944,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,3.0,4.0,,,,,,,,1.0,,,,,6.0,,,,,,2024,Micro,1,Servicios
69,1,3,1,3,3,2,3,2,3,3,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,5.0,,7.0,,,,,,,,,,,7.0,,,,,2024,Micro,1,Servicios
71,1,3,1,5,3,1,4,3,2,4,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,7.0,8.0,,,,1.0,,,,,,7.0,,,,,2024,Micro,1,Servicios
72,1,3,1,3,2,2,2,2,1,4,3,1,1.0,272.0928725701944,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,6.0,7.0,,,,,1.0,2.0,,4.0,5.0,,,,,,,2024,Micro,1,Servicios
73,1,3,1,3,1,5,3,1,1,5,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,3.0,,,,7.0,,,,,2024,Micro,1,Servicios
74,1,3,1,4,3,1,4,4,1,4,3,2,,272.0928725701944,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,7.0,,,LLAVES DE SEGURIDAD,10.0,2024,Micro,1,Servicios
75,1,2,1,3,2,2,2,1,3,4,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
76,1,3,1,4,1,5,3,5,1,5,2,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
77,1,3,1,3,4,3,1,3,2,1,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
79,1,3,1,3,2,1,2,2,2,3,2,2,,272.0928725701944,,,,,,,,,,,,,,,,7.0,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
80,1,3,1,5,4,4,5,4,1,5,1,2,,272.0928725701944,,,,,,,,,,,,,,5.0,,,8.0,,,,1.0,2.0,3.0,,5.0,,7.0,,,,,2024,Micro,1,Servicios
81,1,3,1,5,4,3,4,4,3,4,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,6.0,,,,,,,2.0,,,,6.0,7.0,,,,,2024,Micro,1,Servicios
82,1,1,1,3,5,4,3,3,3,4,1,2,,103.51764705882353,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Industria
83,1,2,1,3,3,4,2,1,1,4,2,2,,209.6189111747851,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,7.0,,,,,2024,Micro,1,Comercio
