NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
84,1,3,1,1,2,1,2,1,1,3,1,2,,272.0928725701944,,,,,,,,,,1.0,,,,5.0,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
85,1,2,1,2,4,3,5,3,1,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,5.0,,7.0,,,,,2024,Micro,1,Comercio
86,1,3,1,1,3,2,3,3,3,3,3,1,1.0,272.0928725701944,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
87,1,3,1,4,3,3,3,3,1,5,3,2,,272.0928725701944,,,,,,,,,,,,,,,6.0,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Servicios
88,1,3,1,3,2,3,2,2,3,3,1,1,1.0,272.0928725701944,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,5.0,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
89,1,1,1,4,3,5,1,2,3,5,2,2,,103.51764705882353,,,,,,,,,,,,,,,,,8.0,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Industria
90,1,3,1,4,3,4,3,3,3,4,2,2,,272.0928725701944,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
91,1,2,1,5,3,3,4,3,1,1,3,2,,209.6189111747851,,,,,,,,,,,,3.0,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Comercio
92,1,1,1,4,3,3,5,2,3,4,2,2,,103.51764705882353,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,,,5.0,6.0,7.0,,,,,2024,Micro,1,Industria
93,1,2,1,5,3,1,2,1,3,3,2,2,,209.6189111747851,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
94,1,3,1,4,3,3,3,4,2,3,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,7.0,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,2024,Micro,1,Servicios
