ID,Localidad,UPL,P131_1,P131_2,P131_3,P131_4,P131_5,P131_6,P131_7,P131_8,P131_9,P131_10,P131_11,P131_12,P131_13,P131_14,P131_15,P131_16,P131_17,P131_18,P131_19,P131_20,P131_21,P131_22,P133_1,P133_2,P133_3,P133_4,P133_5,P133_6,P133_7,P133_8,P133_9,P133_10,P133_11,P133_12,P133_13,P134_1,P134_2,P134_3,P134_4,P134_5,P134_6,P134_7,P134_8,P134_9,P134_10,P134_11,P134_12,P130_1,P130_2,P130_3,P130_4,P130_5,P130_6,P130_7,P130_8,P130_9,P130_10,P130_11,P130_12,P130_13,P130_14,P130_15,P130_16,P130_17,P130_18,P130_19,P130_20,P130_21,P130_22,P130_23,P130_24,P130_25,P130_26,P130_27,P8_1,P8_2,P8_3,P152,P800,P801,REDAD,P802,FACTOR_1,FACTOR_2,P129
6221,7,23,2,3,2,2,1,2,1,2,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,,2.0,,,,,7.0,8.0,,,,,2,2,1,1,4,3,1,2,1,3,2,1,2,1,2,3,3,2,1,1,3,1,3,2,1,1,3,1.0,2.0,1.0,2,2,56,5,3,812.4076751744536,272.0749039993028,2
6222,7,23,1,4,4,5,3,3,1,1,1,1,1,1,3,1,1,2,1,2,1,3,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1.0,2.0,,,,,7.0,,,,,,2,1,2,2,1,1,3,1,4,1,1,5,3,4,2,1,1,2,1,2,3,3,2,2,2,2,1,1.0,1.0,2.0,1,1,40,3,3,476.02038209373137,272.0749039993028,1
6223,7,23,2,3,4,4,3,5,3,2,2,1,4,2,1,1,3,1,4,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,,,,,7.0,,,,,,5,3,2,2,1,3,1,4,1,3,2,4,1,4,1,1,1,4,1,3,2,1,1,1,1,2,2,2.0,3.0,1.0,1,1,34,2,3,316.7593530117035,272.0749039993028,1
6224,7,23,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,5,1,1,2,1,2,1,1,1,2,2,2,2,2,1.0,2.0,,,,,7.0,,,,,,4,1,2,1,2,2,4,2,1,1,3,2,4,1,3,1,4,3,1,2,2,2,1,3,1,4,2,3.0,1.0,3.0,2,2,36,3,3,416.0114296702132,272.0749039993028,1
6225,7,23,2,1,2,1,1,2,1,3,3,3,2,1,2,1,2,1,2,2,1,1,3,2,1,1,1,2,1,1,2,1,2,2,1,2,2,,,,4.0,,,7.0,,9.0,,,,3,2,3,5,1,2,2,3,1,1,3,2,3,4,2,1,2,2,1,1,4,4,1,1,2,1,1,1.0,2.0,1.0,1,2,32,2,3,413.89460884913234,272.0749039993028,2
6226,7,23,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,1,2,1.0,2.0,3.0,,,,,,,,,,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3.0,3.0,3,1,46,4,4,612.334904166388,272.0749039993028,4
6227,7,23,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,99,2,2,99,2,2,1,99,99,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,3.0,3,1,52,4,1,612.334904166388,272.0749039993028,3
6228,7,23,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,99,2,2,99,99,2,2,2,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,4,4,5,4,4,5,4,5,5,3,4,4,4,4,3,4,4,4,4,4,4,4,4.0,3.0,3.0,3,2,28,2,4,413.89460884913234,272.0749039993028,4
6229,7,23,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4.0,3.0,3.0,4,2,29,2,3,413.89460884913234,272.0749039993028,3
6230,7,23,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,3.0,4,2,22,1,3,416.61117906761103,272.0749039993028,3
6231,7,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,99,99,2,2,2,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3.0,4.0,3.0,3,2,32,2,4,413.89460884913234,272.0749039993028,3
6232,7,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,,,,3,1,26,2,4,316.7593530117035,272.0749039993028,2
6233,7,23,4,4,4,4,4,1,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,2,99,2,99,2,2,2,2,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,5,5,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,,,,4,2,33,2,3,413.89460884913234,272.0749039993028,4
6234,7,23,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,2,2,2,99,2,2,2,99,2,2,2,2,2,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4.0,3.0,3.0,1,1,40,3,3,476.02038209373137,272.0749039993028,3
6235,7,23,4,4,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,2,99,2,99,99,2,2,99,99,99,99,99,99,1.0,2.0,3.0,,,,,,,,,,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4.0,3.0,3.0,3,2,64,5,3,812.4076751744536,272.0749039993028,3
6236,7,23,1,2,1,2,1,2,1,2,1,2,1,1,4,1,2,1,4,99,2,1,99,1,99,99,99,99,99,99,99,1,99,99,99,1,99,,2.0,,,,,7.0,,,10.0,,,2,1,3,99,99,1,2,1,1,1,1,1,4,3,3,1,2,99,2,2,1,2,1,2,1,2,1,,,,3,1,62,5,2,800.4855499622499,272.0749039993028,3
6237,7,23,2,1,3,99,99,2,1,2,1,2,1,2,4,3,4,99,99,99,4,3,1,1,1,1,99,99,99,99,1,1,1,1,1,1,99,,2.0,,,,,7.0,8.0,,,,,1,2,1,99,99,2,1,1,2,1,2,1,4,2,4,3,2,99,2,1,2,1,2,1,1,1,1,,,,2,2,52,4,3,630.0861021861051,272.0749039993028,2
6238,7,23,1,1,3,4,1,3,3,3,3,2,2,2,2,4,3,3,3,3,99,99,5,5,1,1,1,1,99,99,99,99,99,99,99,99,99,,2.0,,,,,7.0,8.0,,,,,3,1,4,3,1,3,3,3,3,2,2,2,4,2,3,4,3,3,3,99,99,5,5,5,5,5,5,,,,1,1,34,2,3,316.7593530117035,272.0749039993028,4
6239,7,23,3,1,2,99,99,1,2,1,1,1,2,1,4,1,2,3,1,99,1,3,1,2,1,1,1,1,1,1,1,1,1,2,2,99,99,1.0,2.0,,4.0,,,,,,,,,2,1,4,99,99,1,2,1,1,1,2,1,4,1,2,99,4,99,1,1,2,1,1,2,1,3,2,,,,1,2,45,3,2,416.0114296702132,272.0749039993028,2
6240,7,23,1,2,3,2,1,3,3,3,3,1,1,1,1,1,1,2,2,2,99,99,2,3,1,1,1,1,1,1,1,1,1,2,2,99,99,,2.0,,4.0,5.0,,,,,,,,1,1,4,1,4,1,3,1,1,1,2,1,4,2,4,2,1,99,2,2,2,1,1,2,2,1,2,2.0,4.0,4.0,2,2,30,2,5,413.89460884913234,272.0749039993028,3
6241,7,23,1,1,3,3,1,4,4,4,3,1,1,1,3,3,4,3,3,3,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,1.0,2.0,,4.0,,,,,,,,,1,2,1,99,99,1,1,2,1,2,1,2,4,1,3,4,1,99,99,1,2,1,2,4,4,4,4,,,,2,1,25,2,3,316.7593530117035,272.0749039993028,2
6242,7,23,1,1,3,3,1,3,3,4,3,2,2,2,4,2,2,2,2,2,99,99,3,3,1,1,1,1,1,99,1,1,99,99,2,99,99,1.0,2.0,,4.0,,,,,,,,,1,2,4,99,2,2,2,3,3,1,1,1,3,3,2,3,3,99,2,99,99,4,2,2,3,3,2,1.0,1.0,1.0,2,2,18,1,3,416.61117906761103,272.0749039993028,3
6243,7,23,2,1,2,4,1,3,3,3,3,2,1,1,4,3,4,4,4,99,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,99,99,,,3.0,4.0,5.0,,,,,,,,1,1,4,99,99,1,1,1,2,1,1,1,2,1,2,3,1,2,1,2,1,1,1,2,1,2,2,,,,1,2,58,5,2,812.4076751744536,272.0749039993028,2
6244,7,23,3,1,3,4,1,3,3,3,3,3,3,2,4,3,3,3,3,3,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,1.0,2.0,,4.0,,,,,,,,,2,1,2,99,99,2,1,3,2,1,2,1,4,1,99,99,2,99,1,2,2,2,1,2,1,1,2,,,,1,2,69,6,3,1596.6087149182479,272.0749039993028,3
6245,7,23,1,2,1,99,99,99,99,99,99,1,1,2,4,1,4,99,99,99,2,1,1,99,2,1,2,1,99,99,99,99,99,99,99,99,99,,2.0,,,,,7.0,,,10.0,,,1,2,1,99,99,99,99,99,99,2,2,1,4,2,4,99,99,99,2,2,1,2,1,1,1,2,99,,,,3,2,63,5,2,812.4076751744536,272.0749039993028,3
6246,7,23,1,1,3,99,99,4,3,3,3,3,2,2,3,3,3,3,2,99,99,99,5,5,1,1,99,99,99,1,1,1,99,99,99,1,99,,2.0,,,,,7.0,8.0,,,,,2,2,3,99,99,4,1,3,3,2,2,1,3,3,3,3,2,99,3,99,99,5,99,4,4,3,3,1.0,1.0,1.0,4,2,50,4,3,630.0861021861051,272.0749039993028,4
6247,7,23,1,1,3,4,1,4,4,3,4,4,4,1,4,4,4,4,4,4,99,99,5,5,1,1,1,99,99,99,1,1,99,99,99,99,99,1.0,2.0,,4.0,,,,,,,,,2,1,3,3,1,3,3,3,3,2,3,2,2,2,3,4,4,4,99,99,99,5,5,4,4,4,4,,,,1,1,35,2,3,316.7593530117035,272.0749039993028,4
6248,7,23,2,1,3,3,1,3,3,3,3,2,2,2,4,3,3,3,3,99,99,99,5,3,1,1,99,1,1,1,1,1,1,2,2,99,99,1.0,2.0,,,,,7.0,,,,,,2,1,4,3,1,3,3,3,3,2,2,2,3,2,3,3,3,99,3,99,99,5,4,4,4,4,4,,,,3,1,20,1,3,321.46743515900687,272.0749039993028,3
