BD_MATRICULA,cargo,sector_economico,tamano,mercado,impacto_internacional,situacion_economica,entorno_inversion,capacidad_compra,crecimiento_econ,infraestructura,conectividad,facil_crear_emp,recurso_humano,estab_jurid,seguridad,promg_forta_emp,reg_mercado_lab,servicios_pub,produc_finan,facil_comex,impuestos,percepcion_seguridad,seguridad_aumento,victima,hurto,informatico,fraude,extorsion,estafa,hurto_maq,ataq_infraestruc,vandalismo,secuestro,denuncio,inv_extranjera,Stem,simp_tramites,gob_recurso_humano,func_empresas,sistema_salud,acceso_finan,gob_seguridad,inno_emprend,ayuda_empresas,mitig_crisis_int,fintech,dis_inv_extranjera,dis_Stem,dis_simp_tramites,dis_recurso_humano,dis_func_empresas,dis_sistema_salud,dis_acceso_finan,dis_seguridad,dis_inno_emprend,dis_ayuda_empresas,dis_mitig_crisis_int,dis_fintech,inst_alarm,inst_cam_vig,letreros_disuasivos,seguridad_priv,refor_puer_ven,art_autoridades,cap_per_estrg_prev,ninguna,perd_clientes,perd_produc_trab,daños_establ,imp_salud_fis_mental,desin_inver,daño_reputacional,pago_seg_priv,no_gen_cost,year,EXPAN
2729909_2023,4,1,1,1,3,1,3,3,3,3,5,4,2,4,1,2,3,5,4,4,4,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2023,67.54422
526142_2023,3,3,1,1,3,2,5,2,3,4,4,3,2,3,3,2,5,3,3,4,2,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2023,353.39545
1909115_2023,1,3,1,1,3,2,3,4,3,4,4,3,4,5,3,2,3,4,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2023,323.67499
205232_2023,3,1,2,3,2,1,4,5,5,5,5,1,1,5,1,5,5,5,5,1,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2023,132.11815
3475441_2023,4,2,1,1,3,3,4,4,2,3,3,4,4,3,3,3,3,4,4,4,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2023,192.26547
3182735_2023,2,3,1,1,2,3,1,2,3,1,2,2,2,1,3,2,3,2,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2023,323.67499
3203589_2023,1,3,1,1,3,1,4,4,3,3,4,4,4,3,2,3,3,2,3,3,2,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2023,323.67499
623204_2023,1,1,2,3,4,1,5,3,4,3,5,3,5,4,3,4,3,4,4,3,3,3,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,2023,132.11815
2913171_2023,1,3,1,1,2,1,4,4,5,4,5,4,4,5,5,4,5,5,4,4,4,3,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2023,323.67499
22764_2023,3,1,3,1,2,1,3,3,3,3,3,2,3,4,3,2,4,3,4,3,4,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,2023,53.502728
3484202_2023,1,3,1,1,3,1,4,4,3,3,3,2,2,4,3,2,3,3,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2023,353.39545
2775586_2023,1,2,1,1,3,1,3,3,3,3,1,3,2,2,1,4,3,3,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,192.26547
2137149_2023,3,3,4,3,4,1,3,4,3,4,4,3,3,3,4,4,4,5,4,3,4,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2023,252
1299947_2023,4,2,1,1,3,1,4,3,2,3,4,2,5,3,2,3,3,4,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2023,192.26547
3441260_2023,4,1,1,3,2,1,3,1,1,1,1,1,2,1,5,2,1,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2023,90.473961
278061_2023,1,2,2,3,2,3,4,2,3,3,3,3,2,3,4,1,3,4,3,3,4,2,3,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2023,174.6875
2332471_2023,1,3,1,1,4,1,3,4,4,4,4,3,4,4,4,3,4,4,5,4,4,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2023,323.67499
3386674_2023,3,3,1,1,2,3,1,1,1,2,1,5,3,3,1,2,2,3,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,2023,323.67499
3290631_2023,4,2,1,1,3,1,4,4,4,2,4,2,4,3,3,4,3,4,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2023,184.06779
3140006_2023,4,3,1,1,4,1,3,3,3,3,2,3,3,3,3,2,4,4,2,3,3,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2023,353.39545
3055102_2023,4,1,1,2,3,2,3,3,2,4,4,2,3,2,2,2,3,4,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,2023,67.54422
750542_2023,3,3,2,1,3,1,4,5,3,3,5,5,5,3,3,5,3,5,5,3,1,3,3,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,2023,257.21054
3167672_2023,3,2,2,3,3,1,3,3,4,3,4,2,3,4,3,3,3,4,3,4,4,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2023,174.6875
3592117_2023,4,2,1,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,3,5,3,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2023,192.26547
2943006_2023,4,2,1,1,1,1,2,4,2,4,4,5,4,4,3,4,4,4,3,2,4,3,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2023,192.26547
3520523_2023,4,2,1,1,1,3,3,1,1,1,5,1,5,5,1,1,1,5,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,192.26547
2535090_2023,3,3,1,1,3,1,3,4,3,4,4,5,5,4,2,5,1,5,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,353.39545
1469540_2023,3,1,2,1,2,2,3,3,3,3,4,3,3,3,2,2,3,2,2,1,3,3,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2023,132.11815
3170883_2023,4,2,1,1,3,2,3,3,3,5,5,5,3,3,2,3,4,5,5,5,5,2,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2023,184.06779
1290420_2023,4,3,1,1,3,3,3,3,2,2,2,3,4,2,3,2,2,3,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2023,353.39545
2339018_2023,4,2,2,1,2,1,5,3,3,3,2,2,5,5,3,1,1,5,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2023,174.6875
876372_2023,4,2,1,1,2,3,3,3,3,2,4,1,3,3,1,2,3,4,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2023,192.26547
1339109_2023,4,2,1,1,3,2,3,2,3,4,5,1,3,3,2,4,3,5,5,4,2,2,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2023,192.26547
3538444_2023,3,3,1,1,4,1,3,3,4,3,5,3,4,3,3,2,3,5,2,5,2,2,3,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,2023,353.39545
1386677_2023,1,1,1,1,2,1,3,3,2,2,4,2,3,3,1,2,2,4,4,1,5,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2023,90.473961
3147310_2023,4,3,1,1,3,3,3,3,3,1,5,4,2,2,3,1,3,5,3,1,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2023,353.39545
3369018_2023,3,3,1,2,4,1,3,3,5,3,2,3,4,4,2,2,2,1,2,2,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,353.39545
3146805_2023,5,1,1,1,4,1,4,5,3,4,1,3,1,5,3,2,3,3,1,1,5,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023,90.473961
2004058_2023,3,2,2,3,2,1,3,4,3,3,3,3,3,3,3,3,3,4,5,4,3,2,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,2023,174.6875
986242_2023,3,3,2,1,3,1,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,2023,257.21054
3218130_2023,4,3,1,1,4,1,3,4,4,3,4,4,2,3,2,4,2,4,5,4,3,2,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2023,353.39545
1390750_2023,3,3,2,1,3,1,3,4,3,3,5,3,1,5,3,4,4,5,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2023,257.21054
3530750_2023,4,1,1,1,5,1,2,3,3,3,2,4,3,1,1,2,3,2,2,3,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,2023,90.473961
3585715_2023,4,3,1,1,3,1,3,4,3,3,5,4,3,2,3,3,3,4,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,353.39545
2840600_2023,4,3,1,1,2,3,3,2,2,2,4,3,3,3,1,3,3,4,4,2,3,2,3,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,2023,353.39545
2069610_2023,3,2,2,3,2,1,4,3,3,4,4,3,3,4,3,4,3,5,3,3,4,3,2,2,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2023,174.6875
2461079_2023,1,3,1,1,3,2,3,2,3,3,3,1,3,2,2,1,2,3,1,2,2,2,3,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2023,323.67499
2485318_2023,4,3,1,1,1,1,3,3,2,3,4,3,3,2,2,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2023,353.39545
3508072_2023,3,1,1,1,3,1,4,5,3,3,5,5,5,3,2,3,3,4,3,2,3,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2023,90.473961
2568915_2023,1,3,1,3,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2023,323.67499
1755568_2023,3,3,1,1,2,1,4,3,3,4,5,3,3,4,4,2,3,4,5,4,5,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2023,353.39545
1734459_2023,5,1,1,3,3,2,4,3,2,2,2,3,3,2,3,3,2,3,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2023,90.473961
2652586_2023,1,3,2,3,3,2,4,4,3,2,3,3,4,3,1,2,3,3,3,1,2,3,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,2023,257.21054
1391287_2023,4,1,2,1,3,2,4,3,2,4,4,2,2,3,2,3,4,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2023,132.11815
2667997_2023,1,1,1,1,2,1,4,3,3,3,3,1,4,2,2,3,3,2,3,2,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2023,90.473961
2403755_2023,4,2,1,1,2,1,4,2,2,2,3,3,3,3,3,3,3,4,4,3,2,2,3,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2023,192.26547
3204011_2023,4,2,1,1,2,1,3,3,2,3,2,2,3,2,1,2,3,2,3,2,2,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,192.26547
2059782_2023,1,3,1,1,2,3,2,2,1,4,4,1,3,1,1,3,2,3,3,4,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2023,323.67499
3498024_2023,4,1,1,1,4,2,3,4,3,1,3,3,2,3,1,2,2,4,3,1,3,3,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2023,90.473961
3036929_2023,4,2,1,3,3,1,3,3,4,2,2,2,2,3,2,3,3,5,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2023,192.26547
1493259_2023,4,3,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,3,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2023,353.39545
1463888_2023,3,3,2,3,3,2,3,2,3,3,3,2,4,3,4,3,3,4,4,1,4,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2023,257.21054
