NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1670,2,13.0,,23/11/2024 12:00:12 p. m.,2,2,2.0,1.0,,50,0,50,0,0,5,5,4,2,5,5,5,1,5,5,5,5,5.0,1,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,5,5,1,42,4,13,Primera Línea Metro,Pequeña,1,Comercio,0,1,4.333333333333333,1
1671,2,13.0,,23/11/2024 12:21:41 p. m.,2,4,2.0,,,0,0,100,0,0,3,1,5,3,5,3,1,1,5,5,5,4,5.0,2,3,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,1,1,1,31,4,13,Primera Línea Metro,Grande,0,Comercio,0,0,3.4166666666666665,1
1672,2,13.0,,23/11/2024 12:10:23 p. m.,2,1,1.0,,,0,0,100,0,0,1,3,4,4,3,5,3,3,3,4,2,5,,3,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,5,1,42,6,13,Primera Línea Metro,Micro,1,Comercio,0,1,3.3333333333333335,1
1673,2,13.0,,23/11/2024 12:42:15 p. m.,2,1,2.0,2.0,1.0,0,0,100,0,0,1,1,3,3,3,2,4,1,2,5,1,1,,3,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,5,5,2,35,4,13,Primera Línea Metro,Micro,1,Comercio,0,0,2.25,1
1674,2,13.0,,23/11/2024 12:47:31 p. m.,2,2,1.0,,,0,0,100,0,0,1,1,4,1,1,3,2,1,3,5,5,3,,5,3,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5,1,1,1,33,3,13,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.5,1
1675,2,13.0,,23/11/2024 2:10:18 p. m.,2,1,1.0,1.0,,100,0,0,0,0,3,4,4,3,3,3,1,3,3,4,3,3,,3,1,,,,,,,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5,5,5,2,60,3,13,Primera Línea Metro,Micro,1,Comercio,0,1,3.0833333333333335,1
1676,2,13.0,,23/11/2024 2:21:20 p. m.,2,2,2.0,1.0,,0,0,0,0,100,5,5,5,3,5,5,5,5,5,5,5,1,,5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5,5,1,42,5,13,Primera Línea Metro,Pequeña,1,Comercio,0,0,4.5,1
1677,2,13.0,,23/11/2024 2:31:44 p. m.,2,1,1.0,1.0,,0,0,100,0,0,3,3,3,2,2,3,2,1,2,2,1,3,,5,2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,56,4,13,Primera Línea Metro,Micro,1,Comercio,1,1,2.25,1
1678,2,13.0,,23/11/2024 3:06:53 p. m.,3,2,1.0,1.0,,100,0,0,0,0,1,1,3,5,2,2,3,1,1,5,1,3,2.0,3,1,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,5,1,2,37,5,13,Primera Línea Metro,Pequeña,1,Servicio,0,1,2.3333333333333335,1
1679,2,13.0,,23/11/2024 3:24:58 p. m.,2,1,2.0,2.0,1.0,0,0,100,0,0,2,3,3,3,4,3,4,1,3,3,2,3,,2,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,2,22,4,13,Primera Línea Metro,Micro,1,Comercio,0,0,2.8333333333333335,1
