NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
378,2,5.0,,9/10/2024 12:05:27 p. m.,2,1,2.0,1.0,,100,0,0,0,0,3,3,3,3,3,3,3,3,3,3,1,3,1.0,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,42,3,5,Primera Línea Metro,Micro,1,Comercio,1,0,2.8333333333333335,1
379,2,5.0,,9/10/2024 12:02:57 p. m.,3,2,1.0,,,0,100,0,0,0,2,1,3,1,1,1,1,2,2,1,1,3,3.0,5,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,5,4,1,35,3,5,Primera Línea Metro,Pequeña,1,Servicio,1,1,1.5833333333333333,1
380,1,,19.0,9/10/2024 12:28:42 p. m.,2,4,20.0,9.0,10.0,0,0,100,0,0,3,4,5,5,5,4,4,4,5,2,3,5,,5,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,2,37,4,19,Calle 13,Grande,0,Comercio,0,1,4.083333333333333,1
381,1,,19.0,9/10/2024 1:10:23 p. m.,2,3,5.0,4.0,2.0,0,0,100,0,0,1,3,3,3,4,3,3,3,3,5,4,3,,3,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,40,4,19,Calle 13,Mediana,1,Comercio,0,0,3.1666666666666665,1
382,2,5.0,,9/10/2024 1:15:41 p. m.,2,1,1.0,1.0,1.0,0,0,0,0,100,5,5,3,3,1,1,1,3,1,3,1,1,3.0,1,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,3,30,6,5,Primera Línea Metro,Micro,1,Comercio,0,1,2.3333333333333335,1
383,1,,19.0,9/10/2024 1:39:19 p. m.,2,3,2.0,2.0,1.0,0,0,100,0,0,1,1,1,3,2,3,1,3,1,4,3,3,3.0,5,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,1,1,2,51,4,19,Calle 13,Mediana,1,Comercio,1,0,2.1666666666666665,1
384,2,16.0,,9/10/2024 2:00:18 p. m.,2,2,4.0,1.0,4.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,2,23,3,16,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.0,1
385,2,5.0,,9/10/2024 2:30:09 p. m.,3,2,1.0,1.0,,0,0,0,0,100,1,1,3,2,3,2,2,4,2,1,3,4,2.0,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,5,1,1,2,27,4,5,Primera Línea Metro,Pequeña,1,Servicio,1,1,2.3333333333333335,1
386,2,5.0,,9/10/2024 2:26:34 p. m.,2,2,1.0,1.0,,0,100,0,0,0,1,3,1,4,1,1,1,1,1,1,1,1,5.0,5,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,5,5,2,49,3,5,Primera Línea Metro,Pequeña,1,Comercio,0,0,1.4166666666666667,1
387,2,5.0,,9/10/2024 2:42:06 p. m.,2,2,1.0,1.0,,100,0,0,0,0,2,2,2,1,3,1,5,3,3,1,1,3,5.0,5,3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,3,2,2,68,3,5,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.25,1
388,2,5.0,,9/10/2024 2:53:06 p. m.,2,2,1.0,,,100,0,0,0,0,3,1,3,5,5,3,3,3,1,1,5,1,3.0,5,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,5,5,1,54,3,5,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.8333333333333335,1
389,2,5.0,,9/10/2024 2:26:07 p. m.,2,1,2.0,1.0,,100,0,0,0,0,4,3,3,3,3,3,4,3,2,3,4,4,5.0,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,1,1,2,18,3,5,Primera Línea Metro,Micro,1,Comercio,0,0,3.25,1
390,2,5.0,,9/10/2024 2:48:29 p. m.,2,2,1.0,,,0,0,0,100,0,1,1,1,1,1,1,3,1,1,5,1,1,5.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5,5,5,2,65,5,5,Primera Línea Metro,Pequeña,1,Comercio,0,0,1.5,1
391,2,5.0,,9/10/2024 3:03:37 p. m.,3,2,2.0,1.0,,100,0,0,0,0,1,3,2,2,1,1,4,4,1,4,1,4,4.0,4,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,5,5,1,62,3,5,Primera Línea Metro,Pequeña,1,Servicio,1,0,2.3333333333333335,1
392,2,16.0,,9/10/2024 2:58:35 p. m.,2,2,1.0,1.0,,50,0,50,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,3,2,53,5,16,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.0,1
393,2,5.0,,9/10/2024 3:11:53 p. m.,2,2,3.0,3.0,1.0,100,0,0,0,0,2,1,3,3,2,2,2,5,1,4,2,5,5.0,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,2,20,3,5,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.6666666666666665,1
394,1,,19.0,9/10/2024 2:29:20 p. m.,2,2,3.0,1.0,,0,0,80,0,20,3,3,4,4,4,4,5,2,3,5,4,3,,3,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,5,2,2,2,30,3,19,Calle 13,Pequeña,1,Comercio,0,0,3.6666666666666665,1
395,1,,19.0,9/10/2024 4:26:15 p. m.,2,2,2.0,1.0,1.0,0,0,100,0,0,1,2,1,1,1,1,1,1,4,2,1,4,4.0,5,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,2,3,1,36,3,19,Calle 13,Pequeña,1,Comercio,0,0,1.6666666666666667,1
396,1,,19.0,9/10/2024 5:25:51 p. m.,2,3,10.0,3.0,1.0,0,20,60,0,20,4,2,4,2,3,4,5,2,4,4,2,3,,4,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,2,1,1,32,3,19,Calle 13,Mediana,1,Comercio,1,0,3.25,1
397,1,,19.0,9/10/2024 5:49:12 p. m.,2,1,2.0,2.0,1.0,0,0,100,0,0,2,2,4,1,2,1,1,1,2,1,2,3,,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,2,2,25,4,19,Calle 13,Micro,1,Comercio,1,1,1.8333333333333333,1
398,1,,19.0,9/10/2024 6:18:04 p. m.,2,2,4.0,4.0,1.0,0,0,0,0,100,3,4,2,4,4,4,5,4,2,5,4,4,,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,2,21,4,19,Calle 13,Pequeña,1,Comercio,0,0,3.75,1
399,2,4.0,,10/10/2024 9:22:57 a. m.,92,1,5.0,4.0,1.0,80,0,20,0,0,1,1,3,4,3,1,3,5,4,5,1,5,5.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,5,5,5,2,29,3,4,Primera Línea Metro,Micro,1,,0,0,3.0,1
400,2,4.0,,10/10/2024 9:23:18 a. m.,2,92,1.0,1.0,,0,0,100,0,0,1,1,1,1,3,1,2,1,3,1,1,1,4.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,2,33,3,4,Primera Línea Metro,NS/NR,0,Comercio,1,0,1.4166666666666667,1
401,2,4.0,,10/10/2024 9:24:19 a. m.,2,1,3.0,3.0,1.0,100,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,3.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,1,1,2,28,5,4,Primera Línea Metro,Micro,1,Comercio,1,0,1.3333333333333333,1
402,2,4.0,,10/10/2024 9:28:40 a. m.,3,3,2.0,2.0,1.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,2,1,1,4.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,3,3,2,23,4,4,Primera Línea Metro,Mediana,1,Servicio,1,1,1.0833333333333333,1
404,2,4.0,,10/10/2024 9:38:01 a. m.,2,3,1.0,1.0,,100,0,0,0,0,1,1,4,3,1,4,1,1,3,3,1,5,5.0,5,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,5,5,2,61,3,4,Primera Línea Metro,Mediana,1,Comercio,1,1,2.3333333333333335,1
405,2,4.0,,10/10/2024 9:25:55 a. m.,3,2,1.0,1.0,,0,0,100,0,0,3,3,3,2,2,2,2,3,2,4,1,3,1.0,5,1,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,2,2,29,4,4,Primera Línea Metro,Pequeña,1,Servicio,0,0,2.5,1
406,2,4.0,,10/10/2024 9:49:46 a. m.,2,1,1.0,1.0,,0,0,100,0,0,1,2,2,3,1,3,1,3,1,3,1,3,4.0,5,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,5,5,1,36,4,4,Primera Línea Metro,Micro,1,Comercio,1,1,2.0,1
407,2,4.0,,10/10/2024 9:52:43 a. m.,2,1,1.0,1.0,,0,0,0,100,0,3,1,1,3,1,1,3,1,1,1,1,3,1.0,5,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,2,45,3,4,Primera Línea Metro,Micro,1,Comercio,0,0,1.6666666666666667,1
408,2,4.0,,10/10/2024 9:59:58 a. m.,92,1,2.0,,,0,0,0,0,100,1,3,3,1,3,1,1,3,3,5,1,5,5.0,5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,5,5,1,54,3,4,Primera Línea Metro,Micro,1,,0,0,2.5,1
409,2,4.0,,10/10/2024 10:02:48 a. m.,2,1,4.0,2.0,,50,0,50,0,0,1,3,1,1,3,3,1,1,3,1,1,3,5.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,1,1,2,34,4,4,Primera Línea Metro,Micro,1,Comercio,0,0,1.8333333333333333,1
410,2,4.0,,10/10/2024 10:01:14 a. m.,3,2,1.0,,,100,0,0,0,0,4,3,3,5,4,2,2,5,2,3,4,3,5.0,4,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,1,1,39,4,4,Primera Línea Metro,Pequeña,1,Servicio,0,0,3.3333333333333335,1
411,2,4.0,,10/10/2024 10:10:07 a. m.,92,1,1.0,,,50,0,50,0,0,2,1,3,2,3,1,3,3,3,3,1,4,4.0,4,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,1,2,27,4,4,Primera Línea Metro,Micro,1,,0,0,2.4166666666666665,1
412,2,4.0,,10/10/2024 9:57:13 a. m.,92,2,3.0,2.0,,50,0,50,0,0,5,1,5,1,1,1,1,5,3,5,5,5,4.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,2,2,32,3,4,Primera Línea Metro,Pequeña,1,,0,1,3.1666666666666665,1
413,1,,17.0,10/10/2024 9:46:40 a. m.,2,3,4.0,2.0,1.0,25,50,25,0,0,5,1,5,1,5,1,1,1,1,1,1,5,5.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,67,2,17,Calle 13,Mediana,1,Comercio,0,1,2.3333333333333335,0
414,2,4.0,,10/10/2024 10:12:32 a. m.,2,1,2.0,,,0,100,0,0,0,3,1,1,1,3,1,3,1,1,5,1,3,1.0,5,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,1,1,1,29,4,4,Primera Línea Metro,Micro,1,Comercio,0,0,2.0,1
415,2,4.0,,10/10/2024 10:09:29 a. m.,2,3,2.0,1.0,,100,0,0,0,0,1,2,3,1,2,2,2,1,1,1,2,3,3.0,5,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,25,4,4,Primera Línea Metro,Mediana,1,Comercio,0,1,1.75,1
416,2,4.0,,10/10/2024 10:24:00 a. m.,2,3,2.0,1.0,,100,0,0,0,0,5,1,4,1,2,2,4,2,2,3,1,5,5.0,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,1,1,1,47,2,4,Primera Línea Metro,Mediana,1,Comercio,0,0,2.6666666666666665,1
417,2,4.0,,10/10/2024 10:39:19 a. m.,2,2,1.0,1.0,,0,0,100,0,0,1,1,4,3,3,2,1,2,4,2,1,4,4.0,5,1,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,5,2,32,3,4,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.3333333333333335,1
418,2,4.0,,10/10/2024 10:43:43 a. m.,2,2,2.0,,1.0,0,50,50,0,0,2,3,3,2,1,3,2,1,1,1,1,3,5.0,5,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,5,3,1,32,3,4,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.9166666666666667,1
419,1,,17.0,10/10/2024 10:41:45 a. m.,3,2,2.0,1.0,,100,0,0,0,0,5,5,5,1,1,5,5,5,1,5,5,5,5.0,5,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,1,1,2,25,4,17,Calle 13,Pequeña,1,Servicio,1,0,4.0,0
420,2,4.0,,10/10/2024 10:36:35 a. m.,2,1,3.0,1.0,,0,0,100,0,0,1,1,3,2,1,1,1,1,3,1,2,5,5.0,5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,5,5,3,1,52,3,4,Primera Línea Metro,Micro,1,Comercio,1,1,1.8333333333333333,1
421,2,4.0,,10/10/2024 10:21:06 a. m.,2,1,1.0,1.0,,0,100,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,5.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,2,2,3,32,6,4,Primera Línea Metro,Micro,1,Comercio,1,0,1.1666666666666667,1
422,1,,17.0,10/10/2024 11:07:01 a. m.,2,1,2.0,2.0,,50,0,0,50,0,1,5,5,1,5,1,1,1,1,5,1,1,4.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,5,5,2,31,4,17,Calle 13,Micro,1,Comercio,1,1,2.3333333333333335,0
423,2,4.0,,10/10/2024 11:01:19 a. m.,2,4,2.0,2.0,,100,0,0,0,0,1,1,3,2,1,2,1,2,2,1,1,1,3.0,3,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,5,2,26,3,4,Primera Línea Metro,Grande,0,Comercio,1,1,1.5,1
424,2,4.0,,10/10/2024 10:55:47 a. m.,2,3,4.0,3.0,2.0,50,50,0,0,0,1,3,3,3,1,3,3,3,3,3,3,3,1.0,3,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,1,1,1,30,2,4,Primera Línea Metro,Mediana,1,Comercio,0,0,2.6666666666666665,1
425,2,4.0,,10/10/2024 11:48:21 a. m.,3,2,2.0,,,50,0,0,0,50,2,3,3,1,3,2,2,2,2,3,2,4,4.0,4,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1,1,1,25,3,4,Primera Línea Metro,Pequeña,1,Servicio,0,0,2.4166666666666665,1
426,2,4.0,,10/10/2024 11:45:38 a. m.,3,2,2.0,1.0,,100,0,0,0,0,5,5,5,5,5,5,5,5,2,5,5,4,3.0,4,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,3,3,2,27,5,4,Primera Línea Metro,Pequeña,1,Servicio,1,0,4.666666666666667,1
427,1,,17.0,10/10/2024 11:51:34 a. m.,2,1,2.0,2.0,1.0,0,0,50,50,0,1,1,1,5,1,1,5,1,1,5,1,1,5.0,5,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,2,18,3,17,Calle 13,Micro,1,Comercio,0,0,2.0,0
428,2,4.0,,10/10/2024 11:59:52 a. m.,3,1,3.0,2.0,,0,0,100,0,0,2,1,2,2,2,1,1,1,1,5,2,3,5.0,5,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,2,5,5,1,32,1,4,Primera Línea Metro,Micro,1,Servicio,1,1,1.9166666666666667,1
429,2,4.0,,10/10/2024 12:02:56 p. m.,2,2,2.0,2.0,,50,0,50,0,0,2,5,5,3,4,4,5,2,1,5,2,5,5.0,5,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,5,1,1,2,55,4,4,Primera Línea Metro,Pequeña,1,Comercio,1,1,3.5833333333333335,1
430,2,5.0,,10/10/2024 12:29:40 p. m.,2,1,1.0,,,100,0,0,0,0,1,1,1,3,3,4,1,1,1,2,1,4,,1,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,3,2,27,4,5,Primera Línea Metro,Micro,1,Comercio,0,0,1.9166666666666667,1
431,1,,19.0,10/10/2024 12:22:21 p. m.,3,1,1.0,,,0,0,0,0,100,3,5,3,3,1,3,5,1,3,1,5,3,3.0,5,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3,1,1,1,30,3,19,Calle 13,Micro,1,Servicio,0,0,3.0,1
432,2,4.0,,10/10/2024 12:10:04 p. m.,3,1,1.0,1.0,,100,0,0,0,0,3,1,1,3,4,3,1,2,2,4,3,4,3.0,5,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,2,4,2,48,3,4,Primera Línea Metro,Micro,1,Servicio,1,1,2.5833333333333335,1
433,2,4.0,,10/10/2024 12:24:24 p. m.,2,1,2.0,1.0,,0,0,0,100,0,3,3,3,3,1,3,3,1,1,5,3,3,1.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,1,1,1,38,5,4,Primera Línea Metro,Micro,1,Comercio,1,0,2.6666666666666665,1
434,1,,17.0,10/10/2024 12:35:14 p. m.,2,2,3.0,,,50,50,0,0,0,1,1,1,1,1,2,1,1,1,2,1,1,5.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1,59,5,17,Calle 13,Pequeña,1,Comercio,0,1,1.1666666666666667,0
435,1,,19.0,10/10/2024 12:14:27 p. m.,2,3,15.0,4.0,2.0,0,0,30,20,50,2,2,3,1,3,2,4,2,2,5,5,4,5.0,5,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,5,1,48,3,19,Calle 13,Mediana,1,Comercio,0,0,2.9166666666666665,1
436,1,,19.0,10/10/2024 12:48:01 p. m.,1,1,1.0,,,0,50,50,0,0,3,3,3,1,1,3,5,1,1,5,3,3,,2,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,43,4,19,Calle 13,Micro,1,Industria,0,0,2.6666666666666665,1
437,2,4.0,,10/10/2024 12:39:56 p. m.,2,2,1.0,1.0,,100,0,0,0,0,4,5,5,2,2,2,2,5,2,3,4,5,5.0,1,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,5,3,1,2,52,4,4,Primera Línea Metro,Pequeña,1,Comercio,0,1,3.4166666666666665,1
438,2,4.0,,10/10/2024 12:55:13 p. m.,2,1,2.0,1.0,,0,0,0,0,100,2,1,3,1,2,3,3,1,2,4,1,3,3.0,5,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,5,2,33,3,4,Primera Línea Metro,Micro,1,Comercio,0,1,2.1666666666666665,1
439,1,,19.0,10/10/2024 12:59:45 p. m.,3,1,3.0,1.0,1.0,0,0,30,70,0,1,3,4,1,2,2,2,5,1,3,1,1,5.0,2,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,5,4,1,24,3,19,Calle 13,Micro,1,Servicio,0,0,2.1666666666666665,1
440,1,,19.0,10/10/2024 1:07:12 p. m.,3,1,1.0,,,0,50,0,0,50,1,1,1,1,2,1,3,1,2,2,1,3,,5,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,4,3,1,56,4,19,Calle 13,Micro,1,Servicio,0,0,1.5833333333333333,1
441,2,4.0,,10/10/2024 12:31:34 p. m.,92,2,1.0,1.0,,100,0,0,0,0,1,2,1,1,1,2,1,2,1,1,1,1,,5,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,78,2,4,Primera Línea Metro,Pequeña,1,,1,0,1.25,1
442,1,,19.0,10/10/2024 1:32:00 p. m.,3,1,5.0,,2.0,90,10,0,0,0,3,4,1,1,4,4,3,4,4,4,4,4,,4,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,25,4,19,Calle 13,Micro,1,Servicio,0,0,3.3333333333333335,1
443,1,,17.0,10/10/2024 1:21:56 p. m.,3,1,1.0,,1.0,0,0,100,0,0,1,1,1,1,5,1,1,1,5,1,5,5,5.0,5,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3,1,5,1,24,3,17,Calle 13,Micro,1,Servicio,1,1,2.3333333333333335,0
444,2,4.0,,10/10/2024 1:35:16 p. m.,2,2,3.0,1.0,,100,0,0,0,0,2,5,2,1,2,2,1,2,2,2,5,1,1.0,1,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,3,2,61,3,4,Primera Línea Metro,Pequeña,1,Comercio,1,1,2.25,1
445,1,,19.0,10/10/2024 1:30:41 p. m.,3,1,3.0,2.0,,0,0,100,0,0,2,1,4,2,3,2,4,2,1,4,1,4,1.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,1,1,2,67,2,19,Calle 13,Micro,1,Servicio,0,0,2.5,1
446,2,4.0,,10/10/2024 1:31:34 p. m.,3,2,3.0,2.0,,50,50,0,0,0,1,1,2,1,2,1,1,2,1,3,1,3,3.0,5,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3,5,5,2,55,3,4,Primera Línea Metro,Pequeña,1,Servicio,1,1,1.5833333333333333,1
447,1,,19.0,10/10/2024 1:57:29 p. m.,3,1,2.0,1.0,2.0,0,0,0,0,100,1,1,1,1,1,1,1,3,1,2,1,1,,5,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,4,5,1,24,5,19,Calle 13,Micro,1,Servicio,1,1,1.25,1
448,1,,19.0,10/10/2024 2:07:41 p. m.,3,1,2.0,2.0,,0,0,100,0,0,1,1,3,1,1,2,1,2,1,1,1,2,3.0,5,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,5,4,5,2,28,4,19,Calle 13,Micro,1,Servicio,1,1,1.4166666666666667,1
449,1,,17.0,10/10/2024 2:03:54 p. m.,3,2,1.0,1.0,,100,0,0,0,0,5,5,5,5,5,5,5,5,1,5,5,5,5.0,1,1,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,58,3,17,Calle 13,Pequeña,1,Servicio,0,0,4.666666666666667,0
450,2,4.0,,10/10/2024 2:26:30 p. m.,3,2,1.0,1.0,1.0,100,0,0,0,0,3,1,3,1,3,3,3,2,3,1,1,4,4.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,2,23,3,4,Primera Línea Metro,Pequeña,1,Servicio,0,0,2.3333333333333335,1
451,2,4.0,,10/10/2024 2:40:40 p. m.,2,2,2.0,1.0,,100,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,5.0,5,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,1,2,35,4,4,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.0833333333333333,1
