Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
3. Santa Fe,23,2,63,3,1,2,3,2,2,1,2,4.5803524,-74.0764147,39.79257826834363,2025
3. Santa Fe,23,1,65,3,2,1,5,3,3,3,2,4.5808046,-74.0772509,39.92746232496369,2025
11. Suba,9,2,47,8,3,1,4,2,3,3,2,4.7527135,-74.0820711,763.2004162642119,2025
11. Suba,9,1,27,7,2,1,3,3,2,3,1,4.7497992,-74.0787143,1224.788061435222,2025
19. Ciudad Bolívar,4,1,44,5,1,1,4,2,3,2,2,4.543747436,-74.13644903,369.2137656117429,2025
7. Bosa,16,2,37,7,2,2,2,1,3,1,1,4.6257372,-74.182873,543.0260110711556,2025
7. Bosa,16,1,53,7,2,1,3,2,3,3,2,4.6256882,-74.1828748,474.2979900722315,2025
7. Bosa,16,1,62,5,2,2,2,1,3,1,2,4.6256286,-74.1827965,359.1868712731197,2025
7. Bosa,18,2,43,3,3,2,1,1,2,3,2,4.5994378,-74.1582952,76.9470778020094,2025
7. Bosa,18,2,39,5,3,1,5,1,3,3,2,4.6010591,-74.1598181,79.9561844450035,2025
7. Bosa,18,1,89,5,3,2,3,1,2,1,2,4.60237,-74.1599667,92.8456271612959,2025
8. Kennedy,13,2,29,5,3,1,3,2,2,1,2,4.6467472,-74.1393225,934.8168590942641,2025
8. Kennedy,13,1,74,5,3,2,3,4,3,1,2,4.6463001,-74.1392419,544.0362649901741,2025
8. Kennedy,13,2,44,8,3,1,3,2,3,3,2,4.6464889,-74.1395169,881.2824577731171,2025
8. Kennedy,13,2,59,4,3,2,3,1,3,3,2,4.6463231,-74.1395251,593.100749962376,2025
8. Kennedy,13,2,79,3,3,2,1,2,3,1,2,4.6462394,-74.1391372,722.6189142234318,2025
8. Kennedy,13,2,20,5,3,2,3,3,3,1,1,4.6499453,-74.1353508,1303.285668431935,2025
8. Kennedy,13,2,68,3,3,2,3,1,3,1,2,4.6500491,-74.1356572,980.7557856250437,2025
7. Bosa,18,1,69,3,3,2,1,1,3,2,2,4.6008838,-74.1598248,49.50312227759738,2025
8. Kennedy,13,1,30,11,3,1,4,3,3,3,2,4.6463488,-74.1390385,937.9929164375922,2025
8. Kennedy,13,2,58,8,3,1,5,4,2,5,2,4.6463316,-74.138969,593.100749962376,2025
8. Kennedy,17,1,22,8,3,1,4,1,3,2,2,4.6120318,-74.1688784,479.841909798222,2025
8. Kennedy,17,1,62,8,3,2,1,1,3,1,2,4.6118539,-74.1690362,386.051993899457,2025
8. Kennedy,13,2,39,7,3,1,3,1,3,3,2,4.6462487,-74.1390721,881.2824577731171,2025
8. Kennedy,13,1,79,8,3,1,4,4,2,4,2,4.6461795,-74.1391173,725.361786547176,2025
8. Kennedy,13,2,18,5,3,2,3,2,1,3,2,4.6464252,-74.139393,720.7554706082254,2025
8. Kennedy,13,2,69,5,3,2,3,1,3,1,2,4.6462192,-74.1394446,542.3869186487841,2025
8. Kennedy,13,1,35,7,3,2,3,2,3,2,1,4.6500251,-74.1357206,1696.099127838984,2025
8. Kennedy,13,2,32,5,3,2,3,1,3,1,1,4.6501243,-74.1357664,1690.356112091654,2025
3. Santa Fe,23,2,57,4,1,2,1,1,3,1,1,4.5820934,-74.0766083,40.69590337973282,2025
3. Santa Fe,23,2,55,4,1,2,1,1,3,1,2,4.5821319,-74.0765411,52.75113833865358,2025
12. Barrios Unidos,33,1,65,5,4,2,3,1,3,2,2,4.6781498,-74.080051,65.32478696603816,2025
12. Barrios Unidos,33,1,50,5,3,2,2,3,2,2,2,4.677842,-74.0784201,99.31559722868553,2025
5. Usme,20,1,45,5,2,1,3,1,3,1,1,4.5291406,-74.1175932,487.8039805094296,2025
11. Suba,8,1,31,4,4,2,2,5,1,4,2,4.7270938,-74.0538048,1113.845704862649,2025
5. Usme,20,1,38,5,2,2,4,3,3,2,2,4.5292913,-74.1176907,586.1268673176397,2025
5. Usme,20,2,42,5,2,2,1,1,3,1,2,4.5290346,-74.1177004,583.9937245665968,2025
5. Usme,20,1,35,9,2,1,3,2,2,3,2,4.5295959,-74.1177156,622.5348342316623,2025
5. Usme,20,2,68,4,2,1,4,3,2,4,2,4.5290997,-74.1175422,361.4500140650758,2025
5. Usme,20,2,31,8,2,1,5,3,2,3,2,4.5294434,-74.1177231,620.3661471379714,2025
5. Usme,20,2,61,3,2,1,3,3,3,3,2,4.5295025,-74.1176951,385.6044737761913,2025
5. Usme,20,1,47,5,2,2,3,4,3,1,2,4.5292081,-74.1176725,509.7797623420232,2025
5. Usme,20,2,24,5,2,1,4,3,1,3,2,4.5297304,-74.1177312,476.9509226166236,2025
5. Usme,20,2,47,5,2,1,4,2,3,4,2,4.5292005,-74.1177339,507.849181049072,2025
8. Kennedy,13,2,29,8,3,2,3,3,2,2,2,4.6502747,-74.1361267,1690.356112091654,2025
8. Kennedy,13,1,23,5,3,1,4,3,2,3,2,4.6411494,-74.1383612,834.9004602773044,2025
8. Kennedy,17,2,32,5,3,2,3,3,3,1,2,4.611924,-74.1689276,620.0003115716517,2025
8. Kennedy,17,2,62,4,2,1,4,3,2,1,2,4.6139172,-74.1633797,715.6355654264922,2025
8. Kennedy,17,2,54,5,3,2,3,3,1,2,2,4.6112292,-74.1691685,509.0669917088119,2025
8. Kennedy,17,2,19,4,3,1,5,5,2,5,2,4.6118398,-74.1692321,478.0279816273737,2025
8. Kennedy,17,2,40,5,3,2,3,2,3,2,2,4.6113521,-74.1693387,584.4945917335737,2025
17. La Candelaria,23,2,27,8,2,2,2,2,3,2,2,4.5904613,-74.0761878,16.00619540036684,2025
17. La Candelaria,23,2,43,8,2,2,2,2,2,3,2,4.5901697,-74.0750755,16.00158076193657,2025
17. La Candelaria,23,1,25,5,2,2,3,2,3,3,2,4.5900923,-74.0758655,16.05204511889531,2025
17. La Candelaria,23,1,22,5,2,2,3,2,2,3,2,4.5900649,-74.075702,13.48176480367459,2025
17. La Candelaria,23,2,27,5,2,2,1,1,3,3,2,4.5910576,-74.07554,16.00619540036684,2025
17. La Candelaria,23,1,33,7,2,2,3,2,3,2,2,4.5899419,-74.0755522,16.8024837715925,2025
17. La Candelaria,23,2,52,5,2,2,2,1,3,2,2,4.5905889,-74.0760198,14.23294839325015,2025
17. La Candelaria,23,1,24,7,2,1,3,2,2,3,2,4.5901105,-74.0750664,13.48176480367459,2025
17. La Candelaria,23,2,45,7,2,1,2,2,2,1,2,4.5909898,-74.0759654,13.6722712719828,2025
17. La Candelaria,23,1,21,7,2,2,3,1,3,3,1,4.5902107,-74.0748484,13.48176480367459,2025
17. La Candelaria,23,2,46,8,2,2,2,2,2,3,2,4.5909078,-74.075357,14.23294839325015,2025
17. La Candelaria,23,1,31,5,2,2,3,2,2,1,2,4.5903642,-74.075624,16.8024837715925,2025
17. La Candelaria,23,2,47,7,2,1,2,2,2,3,2,4.5907985,-74.0748848,14.23294839325015,2025
17. La Candelaria,23,1,52,5,2,2,2,2,3,2,2,4.5910946,-74.0758065,14.28120054799906,2025
17. La Candelaria,23,1,27,7,2,2,2,2,3,3,2,4.5904898,-74.0756364,16.05204511889531,2025
11. Suba,10,1,37,7,2,2,3,2,2,1,2,4.7447302,-74.1231578,1053.212501741758,2025
11. Suba,10,2,39,8,2,2,1,1,3,1,1,4.7445687,-74.1236486,1049.421577897879,2025
11. Suba,10,1,38,4,2,1,3,2,2,3,2,4.7441938,-74.1218303,636.6850322296965,2025
11. Suba,10,2,41,5,2,2,3,1,2,1,2,4.7473215,-74.1208828,1053.41576225317,2025
11. Suba,10,2,20,5,2,1,4,3,3,2,2,4.7469044,-74.1209086,860.9214504526655,2025
11. Suba,8,2,34,5,3,1,5,1,3,5,2,4.7588236,-74.0515433,1156.212909085873,2025
11. Suba,8,2,48,5,3,1,3,1,3,1,2,4.7590598,-74.0514733,948.0151662854951,2025
11. Suba,8,1,63,5,3,2,3,2,3,1,2,4.7593181,-74.0511343,720.2296614076397,2025
12. Barrios Unidos,33,2,25,5,3,2,3,2,3,2,2,4.6776881,-74.0801546,113.5992097911332,2025
4. San Cristóbal,5,2,37,5,2,2,1,1,3,4,2,4.542293349,-74.09118776,230.1046389854075,2025
19. Ciudad Bolívar,3,2,22,5,2,2,2,1,3,1,2,4.582581967,-74.15916014,290.3884491434137,2025
11. Suba,10,2,24,5,2,1,4,3,2,3,2,4.7442566,-74.1215692,518.4684583255669,2025
11. Suba,10,2,42,3,2,2,2,2,3,3,2,4.7442451,-74.1215455,634.3933537073385,2025
4. San Cristóbal,5,1,20,5,1,2,2,1,2,1,2,4.52189292,-74.09326245,259.284037083495,2025
12. Barrios Unidos,33,2,35,4,3,1,1,1,1,2,2,4.6767048,-74.0798775,120.4196016328985,2025
11. Suba,9,2,52,8,3,2,2,1,3,1,2,4.7526557,-74.0819264,763.2004162642119,2025
11. Suba,27,2,68,5,5,2,1,2,3,3,2,4.6923054,-74.0617193,389.8498236346367,2025
2. Chapinero,6,2,45,5,2,1,4,2,3,2,2,4.670222604,-74.02567077,37.45783669577375,2025
1. Usaquén,25,1,56,8,6,1,4,3,2,1,2,4.70715754796187,-74.0441009874043,413.048408655384,2025
11. Suba,28,1,53,7,3,2,2,1,3,1,2,4.738061827,-74.09178869,410.7847854700831,2025
11. Suba,27,2,30,5,3,2,1,1,3,1,2,4.6957167,-74.0569057,1389.779215434098,2025
14. Los Mártires,23,1,33,8,3,2,2,3,2,1,1,4.596598575,-74.08626687,64.85532288254723,2025
7. Bosa,15,2,57,3,2,1,4,4,1,1,2,4.640605,-74.1966713,652.7163502126762,2025
2. Chapinero,6,2,41,5,2,1,1,1,3,5,1,4.66592312,-74.02068619,38.49375363787146,2025
16. Puente Aranda,31,1,42,8,3,1,3,1,1,2,2,4.62308717,-74.11233806,178.2544233962223,2025
11. Suba,8,2,75,7,4,1,4,2,3,3,2,4.7406383,-74.0681833,531.9571239158553,2025
12. Barrios Unidos,33,1,58,4,4,1,4,3,2,3,2,4.6789209,-74.0605206,113.984462230457,2025
11. Suba,8,2,39,8,4,1,5,1,3,2,1,4.7406789,-74.0682613,862.4078955485248,2025
9. Fontibón,12,2,49,5,2,1,4,1,3,3,2,4.680884212,-74.16610364,494.6987708356589,2025
8. Kennedy,13,1,20,5,2,2,3,2,1,2,2,4.6511949,-74.1426247,642.1333765095327,2025
8. Kennedy,13,1,45,7,2,1,4,4,1,4,2,4.651241,-74.1426903,654.3343471363654,2025
8. Kennedy,13,1,19,5,2,1,4,2,3,2,2,4.6513148,-74.1425161,642.1333765095327,2025
17. La Candelaria,23,2,87,3,2,1,3,3,2,3,2,4.591385,-74.0721583,21.94686385950033,2025
7. Bosa,15,2,49,5,2,1,4,2,1,4,2,4.640375,-74.1969617,842.9647388901045,2025
7. Bosa,15,2,30,5,2,1,4,3,2,1,2,4.6408,-74.1960067,1028.505418504282,2025
7. Bosa,15,2,48,4,2,2,3,3,2,2,2,4.6408454,-74.1947929,842.9647388901045,2025
7. Bosa,15,2,25,5,2,2,3,1,3,1,2,4.6406368,-74.1952698,969.1342139419075,2025
7. Bosa,15,2,60,3,2,2,1,1,3,1,2,4.6406052,-74.1953055,652.7163502126762,2025
3. Santa Fe,23,2,26,7,4,1,3,2,2,2,2,4.6126043,-74.0661359,78.70394314842369,2025
11. Suba,8,2,59,10,4,2,3,3,2,3,2,4.7419355,-74.0684313,580.8668439247215,2025
7. Bosa,16,1,38,5,2,2,2,1,2,3,2,4.6206892,-74.1796975,695.1831865012109,2025
7. Bosa,16,2,33,7,2,2,2,1,3,2,2,4.622954,-74.1780242,735.376197185907,2025
7. Bosa,16,1,71,3,2,2,3,3,3,3,2,4.6232597,-74.1778811,428.8539803402963,2025
7. Bosa,16,2,50,7,2,1,5,3,3,3,2,4.6212544,-74.1801702,602.7155451920795,2025
7. Bosa,16,2,66,4,2,1,4,1,3,3,2,4.6211367,-74.1799367,427.5853080882264,2025
7. Bosa,16,1,26,4,2,2,2,1,2,1,1,4.6215702,-74.1801148,695.4355486541915,2025
7. Bosa,16,2,30,5,2,1,4,4,3,4,2,4.6209478,-74.1797552,735.376197185907,2025
7. Bosa,16,2,26,5,1,2,3,1,3,2,2,4.6213527,-74.1802631,692.9260847723829,2025
16. Puente Aranda,31,1,45,7,3,1,4,3,2,2,2,4.609534816,-74.10679243,97.43026177573297,2025
11. Suba,8,1,44,8,4,2,1,1,3,1,1,4.7280733,-74.0579983,1258.649963958537,2025
11. Suba,8,1,70,9,3,1,4,3,2,3,2,4.7271249,-74.0539238,646.9864117903403,2025
11. Suba,27,1,68,10,4,1,4,4,2,4,2,4.7099585,-74.0606421,314.7437800904024,2025
11. Suba,27,2,65,7,4,2,2,1,2,2,1,4.7101131,-74.0609616,335.277094336742,2025
11. Suba,27,1,89,1,4,1,4,2,2,2,2,4.7102731,-74.0609759,590.3971369330302,2025
11. Suba,27,2,60,10,4,2,3,1,3,3,2,4.7101899,-74.0608513,342.6595327579221,2025
11. Suba,27,2,87,5,4,2,2,2,3,2,2,4.7100578,-74.0610229,588.5740428850587,2025
4. San Cristóbal,21,1,24,5,2,1,1,5,1,1,2,4.563027225,-74.08415501,189.9609928285987,2025
8. Kennedy,13,1,40,9,3,2,3,1,3,2,2,4.6430436,-74.1440687,1267.64292406665,2025
8. Kennedy,13,2,64,5,3,1,4,2,3,2,2,4.6431319,-74.1439359,831.506556869705,2025
7. Bosa,18,2,57,5,3,2,1,2,3,1,2,4.60212,-74.160265,53.87045237927359,2025
7. Bosa,18,1,33,8,3,2,3,3,2,3,2,4.6010117,-74.15954,85.17861320526428,2025
7. Bosa,18,1,41,3,3,1,4,3,2,2,2,4.6016833,-74.1603517,80.2458176076432,2025
3. Santa Fe,23,1,48,7,2,2,1,1,3,1,2,4.5894594,-74.077235,458.6788104285058,2025
17. La Candelaria,23,2,28,8,2,1,4,1,2,3,2,4.5903975,-74.0762832,16.00619540036684,2025
17. La Candelaria,23,2,23,7,2,1,3,1,2,3,2,4.590762,-74.0760607,13.43380843970626,2025
17. La Candelaria,23,1,32,7,2,2,2,2,3,2,2,4.5904704,-74.0744625,16.8024837715925,2025
17. La Candelaria,23,2,47,7,2,2,1,1,2,3,2,4.5906253,-74.074576,14.23294839325015,2025
3. Santa Fe,23,2,51,7,2,2,2,1,2,3,2,4.5891719,-74.0769063,456.950454111825,2025
3. Santa Fe,23,2,31,8,2,1,3,3,2,3,2,4.5891001,-74.076875,555.483112136927,2025
17. La Candelaria,23,1,36,7,2,2,2,2,3,2,2,4.5903977,-74.0756062,16.04744219596882,2025
17. La Candelaria,23,1,53,5,2,2,2,1,3,1,2,4.5905615,-74.0755567,14.28120054799906,2025
3. Santa Fe,23,2,35,7,2,2,2,1,3,1,2,4.5889531,-74.0766165,555.483112136927,2025
3. Santa Fe,23,1,42,8,2,2,3,2,3,3,2,4.5891704,-74.076866,525.9656424103205,2025
7. Bosa,18,2,56,5,3,1,5,1,1,1,2,4.6008659,-74.1595376,53.87045237927359,2025
7. Bosa,18,2,20,5,3,1,4,3,2,3,2,4.6012017,-74.1597083,65.33321440210703,2025
7. Bosa,18,2,60,5,3,2,3,1,3,1,1,4.6022544,-74.1602826,53.87045237927359,2025
7. Bosa,18,1,45,9,3,1,4,3,3,2,2,4.6019209,-74.1606382,66.82382513544697,2025
7. Bosa,18,2,47,8,3,1,4,2,2,2,2,4.6021017,-74.160575,69.57216838369351,2025
7. Bosa,18,2,71,5,3,2,3,1,3,1,2,4.6016597,-74.160632,49.35667793872339,2025
7. Bosa,18,1,26,9,3,2,3,1,3,1,2,4.6010201,-74.1595142,80.27494806950187,2025
11. Suba,8,1,20,5,5,1,4,3,1,3,2,4.7420774,-74.0683351,707.4859251619964,2025
11. Suba,8,2,38,8,4,1,4,1,2,1,2,4.7421159,-74.0682576,862.4078955485248,2025
11. Suba,8,1,39,10,4,2,4,2,3,1,1,4.7449913,-74.0679407,926.4707286850575,2025
11. Suba,8,1,51,10,5,1,3,2,3,2,2,4.745062,-74.0679256,806.4655375251326,2025
11. Suba,8,2,78,5,3,1,4,4,1,3,2,4.7386539,-74.0702574,2371.579867666112,2025
11. Suba,8,2,63,5,3,2,3,1,3,3,2,4.7387264,-74.0703292,1907.480078550099,2025
11. Suba,8,2,60,11,4,2,1,1,3,2,2,4.7406676,-74.0682754,580.8668439247215,2025
11. Suba,8,2,35,8,4,2,1,1,3,1,2,4.7407762,-74.0682434,915.3953116625628,2025
11. Suba,8,2,61,9,4,2,2,1,3,1,2,4.7407206,-74.0683287,568.3523410545824,2025
11. Suba,8,1,58,9,4,2,3,2,3,3,2,4.7407794,-74.0681446,582.8233867192857,2025
11. Suba,8,1,69,8,4,1,4,2,3,1,2,4.7451883,-74.0682233,571.1154229488017,2025
11. Suba,27,1,69,8,4,1,4,3,1,4,2,4.7099479,-74.0609664,314.7437800904024,2025
11. Suba,27,2,87,8,4,1,4,2,3,3,2,4.710157,-74.0608365,588.5740428850587,2025
11. Suba,27,2,80,5,4,2,3,1,3,1,2,4.7101484,-74.0609265,588.5740428850587,2025
11. Suba,27,2,83,4,4,2,5,2,3,1,2,4.7099632,-74.0609803,588.5740428850587,2025
11. Suba,27,2,75,7,4,1,4,3,3,3,2,4.710165,-74.0607763,313.8071684323542,2025
17. La Candelaria,23,2,80,5,2,2,1,1,3,1,1,4.590215,-74.0732933,20.33079927478107,2025
17. La Candelaria,23,1,26,5,2,2,3,1,3,2,2,4.5905767,-74.0734633,18.2858660249454,2025
17. La Candelaria,23,1,45,7,2,1,5,1,2,1,2,4.5912583,-74.074465,13.72040569554785,2025
17. La Candelaria,23,1,49,3,2,1,5,1,1,3,2,4.5914217,-74.0744483,14.28120054799906,2025
17. La Candelaria,23,1,57,5,2,1,5,1,3,4,2,4.59175,-74.0731167,13.58088599976166,2025
17. La Candelaria,23,1,25,5,1,2,2,2,2,1,2,4.5912898,-74.0725229,19.73938194846796,2025
17. La Candelaria,23,2,50,4,2,2,3,1,3,1,2,4.5914083,-74.0727444,17.50241807235419,2025
17. La Candelaria,23,1,67,4,2,1,3,3,1,3,2,4.5915974,-74.0730271,12.24122568361621,2025
17. La Candelaria,23,2,45,5,1,2,3,1,3,1,2,4.5914952,-74.0729766,15.5749201353723,2025
17. La Candelaria,23,1,50,7,2,2,3,1,3,2,2,4.5915833,-74.0730333,17.56175429433528,2025
17. La Candelaria,23,2,48,9,3,2,3,2,2,2,1,4.5916367,-74.0730867,17.50241807235419,2025
17. La Candelaria,23,1,21,4,2,1,4,2,1,2,2,4.5912417,-74.0733933,15.35790256966231,2025
17. La Candelaria,23,2,38,9,2,1,5,4,1,1,1,4.59121,-74.0724767,19.67732535633817,2025
8. Kennedy,13,1,88,9,3,2,2,3,3,4,2,4.6425728,-74.1430309,1276.18914693327,2025
17. La Candelaria,23,2,60,5,2,1,5,3,2,1,2,4.5915897,-74.0719576,13.52952015668643,2025
17. La Candelaria,23,2,70,5,2,2,1,1,3,1,2,4.5913367,-74.0721783,12.19641363992201,2025
17. La Candelaria,23,1,47,7,2,2,2,1,3,1,1,4.5911834,-74.0722906,17.56175429433528,2025
11. Suba,8,2,72,8,4,2,2,1,3,1,2,4.7399398,-74.0683209,531.9571239158553,2025
17. La Candelaria,23,2,49,5,2,2,3,5,3,1,2,4.5914733,-74.0725267,17.50241807235419,2025
17. La Candelaria,23,1,76,3,2,2,3,2,3,3,2,4.5919267,-74.0722133,16.61891612215921,2025
17. La Candelaria,23,1,62,9,2,2,3,3,3,3,1,4.5913513,-74.0725552,13.24741225671034,2025
17. La Candelaria,23,1,71,3,2,1,4,4,3,3,2,4.5916267,-74.072435,12.24122568361621,2025
17. La Candelaria,23,2,76,3,2,2,2,1,3,1,2,4.5910678,-74.0720169,16.55990806044691,2025
17. La Candelaria,23,1,72,5,2,1,4,4,2,3,2,4.59099,-74.071755,12.24122568361621,2025
4. San Cristóbal,21,1,22,7,2,2,4,4,2,4,2,4.583404982,-74.0811983,132.0791667824946,2025
8. Kennedy,13,2,66,8,3,1,3,1,3,1,2,4.6432084,-74.1441067,777.3913407937223,2025
8. Kennedy,13,2,72,8,3,1,5,4,3,5,2,4.6431499,-74.1439683,777.3913407937223,2025
8. Kennedy,13,2,31,8,3,2,3,1,3,1,2,4.6432262,-74.1440149,1339.852615358601,2025
17. La Candelaria,23,2,50,5,2,2,1,1,3,2,2,4.5911732,-74.0725837,16.21362172428562,2025
17. La Candelaria,23,2,29,5,2,1,3,1,3,1,1,4.5912241,-74.0723643,20.6086414275072,2025
17. La Candelaria,23,2,58,4,2,2,3,1,3,3,2,4.5922635,-74.0724946,13.52952015668643,2025
17. La Candelaria,23,1,29,8,2,1,5,4,3,1,2,4.5920048,-74.0732721,19.14073657642473,2025
17. La Candelaria,23,2,43,10,2,2,3,2,3,1,1,4.5921977,-74.073086,19.67732535633817,2025
17. La Candelaria,23,2,26,8,2,1,4,1,3,1,2,4.5911322,-74.0727274,18.23363580729505,2025
17. La Candelaria,23,1,55,9,2,2,2,2,2,2,1,4.5907379,-74.0722242,17.56175429433528,2025
17. La Candelaria,23,2,52,7,2,2,3,1,3,1,1,4.5921817,-74.0728833,17.50241807235419,2025
11. Suba,27,2,67,8,4,1,4,3,3,2,2,4.7100779,-74.0607741,313.8071684323542,2025
11. Suba,27,1,71,8,4,1,4,3,3,3,2,4.7102493,-74.06088,314.7437800904024,2025
11. Suba,27,1,34,9,4,1,5,3,2,2,2,4.7100772,-74.0609498,541.8599234809509,2025
11. Suba,27,1,36,7,4,2,3,1,3,1,2,4.7102496,-74.0609462,510.5813773752447,2025
11. Suba,27,2,59,7,4,2,2,2,3,2,2,4.7100169,-74.0608405,342.6595327579221,2025
11. Suba,10,2,30,5,2,2,1,1,3,1,2,4.744435,-74.1217733,673.3712721452146,2025
11. Suba,10,1,26,5,2,1,5,1,3,1,2,4.74437,-74.121885,636.9155131245541,2025
11. Suba,10,2,68,3,2,2,2,1,2,1,2,4.747288,-74.1207896,649.7760770376599,2025
11. Suba,10,2,53,5,2,2,2,1,3,1,2,4.744513,-74.1213809,552.1181899269117,2025
17. La Candelaria,23,1,69,5,2,2,2,2,2,3,1,4.5926609,-74.0793147,10.31782354171605,2025
17. La Candelaria,23,2,74,4,2,1,4,4,2,4,2,4.5917146,-74.0799257,10.28005258876326,2025
17. La Candelaria,23,1,59,3,2,1,4,2,1,2,2,4.5922209,-74.0800163,11.4469897792382,2025
17. La Candelaria,23,1,85,3,2,1,4,4,2,4,2,4.5933247,-74.0793548,18.53879047390982,2025
17. La Candelaria,23,1,32,5,2,2,1,1,3,1,2,4.5928933,-74.0795767,17.41565667974506,2025
17. La Candelaria,23,2,59,5,2,1,1,1,3,4,2,4.5926183,-74.0788717,11.4036947923946,2025
17. La Candelaria,23,1,47,7,2,2,4,2,2,2,2,4.5933992,-74.0793234,14.80236428729881,2025
11. Suba,8,2,76,10,4,2,1,1,3,3,1,4.7407209,-74.0680486,706.6354112649516,2025
11. Suba,8,2,43,8,4,2,3,2,3,1,2,4.7421826,-74.0682323,862.4078955485248,2025
11. Suba,8,1,59,8,4,2,3,3,3,3,1,4.7450167,-74.0681167,623.8640109552371,2025
11. Suba,8,1,65,7,4,1,3,2,3,3,2,4.7605868,-74.0482247,650.6577451264187,2025
11. Suba,8,2,70,9,4,1,4,3,3,4,2,4.7609175,-74.0480112,606.9981398494597,2025
11. Suba,8,2,67,7,4,1,4,3,3,4,2,4.7674214,-74.0455666,469.5540413716695,2025
11. Suba,8,2,20,8,4,1,4,3,2,2,2,4.7674884,-74.0455695,622.1360875681777,2025
11. Suba,8,1,18,8,4,1,4,1,3,1,2,4.7675867,-74.0456649,624.491825446326,2025
11. Suba,8,2,70,5,3,1,5,1,2,4,2,4.768302,-74.0488498,469.5540413716695,2025
11. Suba,8,1,24,5,4,2,3,4,1,3,2,4.7287058,-74.0578015,1028.830978006172,2025
17. La Candelaria,23,1,54,5,2,1,5,1,3,1,2,4.5915067,-74.0726133,17.56175429433528,2025
17. La Candelaria,23,3,67,5,2,1,4,1,3,1,2,4.5925769,-74.0727451,11.29832668452621,2025
17. La Candelaria,23,1,42,5,2,1,2,1,3,1,1,4.59061,-74.0725717,19.7337216819379,2025
17. La Candelaria,23,1,65,5,2,1,5,1,1,1,2,4.5918435,-74.0733292,13.24741225671034,2025
17. La Candelaria,23,1,28,5,2,1,5,1,3,4,2,4.5918397,-74.0730567,19.73938194846796,2025
17. La Candelaria,23,2,55,5,2,1,3,4,3,1,2,4.5916085,-74.0723304,17.50241807235419,2025
17. La Candelaria,23,1,54,3,2,2,1,1,3,1,2,4.5915766,-74.0724512,17.56175429433528,2025
8. Kennedy,13,2,65,5,3,2,3,4,3,3,2,4.6430891,-74.144045,831.506556869705,2025
17. La Candelaria,23,2,24,5,2,2,3,2,2,1,1,4.59143,-74.0727933,16.51970660746333,2025
8. Kennedy,13,1,42,8,3,1,5,3,3,3,2,4.6431238,-74.144006,1267.64292406665,2025
8. Kennedy,13,1,52,8,3,2,1,1,3,4,2,4.6430794,-74.1440605,1104.293036517506,2025
8. Kennedy,13,1,29,7,3,2,1,1,3,1,1,4.6431116,-74.1440716,1344.404789077537,2025
11. Suba,8,2,60,7,4,2,3,3,3,1,2,4.74044031944353,-74.0674966374239,580.8668439247215,2025
11. Suba,8,2,47,10,4,1,5,3,1,5,2,4.74055858409973,-74.0679167942783,750.5612779300791,2025
8. Kennedy,17,2,36,5,3,2,1,1,3,1,2,4.6125472,-74.1740781,476.4644339004244,2025
8. Kennedy,17,1,50,5,3,2,3,3,2,3,2,4.6113438,-74.1715558,755.0042530959909,2025
8. Kennedy,17,1,55,5,3,2,3,1,3,4,2,4.6124711,-74.1755995,416.5519806977209,2025
8. Kennedy,17,1,29,7,2,1,4,3,1,3,2,4.6125569,-74.1754428,507.1248837317755,2025
8. Kennedy,17,1,67,4,3,2,3,3,2,3,2,4.6126441,-74.1756037,294.1326344732238,2025
8. Kennedy,17,2,25,5,3,2,3,1,3,1,1,4.6124394,-74.1755531,476.6357226306557,2025
8. Kennedy,17,2,37,8,3,1,3,1,3,2,2,4.611298,-74.1715941,863.5961193636505,2025
8. Kennedy,17,2,38,8,3,2,3,3,3,2,2,4.6128135,-74.1751573,476.4644339004244,2025
8. Kennedy,17,2,45,4,3,2,3,1,3,1,2,4.6130196,-74.1736541,397.0774489689219,2025
11. Suba,10,1,48,5,2,2,3,3,3,3,2,4.741181,-74.1253405,554.2156064445666,2025
11. Suba,10,2,28,7,2,2,2,2,2,1,2,4.7420842,-74.1287549,1394.092491934679,2025
11. Suba,10,1,42,4,2,2,3,3,3,4,2,4.7420699,-74.1287161,1398.620982404863,2025
11. Suba,10,2,26,7,2,2,3,3,2,3,2,4.7409876,-74.1252316,634.6235572931464,2025
11. Suba,9,1,60,3,2,2,1,1,3,1,2,4.7587311,-74.1022248,370.8477497424889,2025
11. Suba,10,1,53,4,2,2,1,3,3,3,2,4.740874,-74.1255907,554.2156064445666,2025
7. Bosa,15,1,62,5,1,2,3,3,2,1,2,4.6404467,-74.1967394,640.8047933058674,2025
7. Bosa,15,2,51,5,1,2,3,1,3,3,2,4.6405093,-74.1965469,842.9647388901045,2025
7. Bosa,15,1,67,3,1,1,4,1,3,4,2,4.6407681,-74.1962102,599.7999992589051,2025
7. Bosa,15,2,67,3,1,2,3,1,2,3,2,4.6407131,-74.1950402,598.0256199812603,2025
7. Bosa,15,2,73,4,1,2,3,1,3,1,2,4.6404375,-74.1955047,598.0256199812603,2025
11. Suba,8,2,26,8,4,2,3,1,3,1,2,4.7605983,-74.0481935,984.4213397605532,2025
11. Suba,8,2,74,5,4,1,3,1,3,1,2,4.7605935,-74.0482114,606.9981398494597,2025
