Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
5. Usme,5,2,58,3,2,2,3,1,3,2,2,4.5015717,-74.1140633,156.2473128291444,2025
5. Usme,5,2,62,1,2,2,3,3,2,1,1,4.5016597,-74.1137602,152.9450713547537,2025
5. Usme,5,2,33,5,2,1,4,1,2,1,1,4.5017196,-74.114084,246.060279619995,2025
5. Usme,5,2,31,5,1,1,5,5,1,1,2,4.5019724,-74.1140513,246.060279619995,2025
5. Usme,5,2,21,5,2,1,3,1,2,1,1,4.5017639,-74.1141336,189.1764692923517,2025
5. Usme,5,1,30,5,1,1,3,1,1,1,2,4.50186,-74.1141933,246.9204615547181,2025
8. Kennedy,15,1,45,8,2,2,3,2,3,2,1,4.6356375,-74.178867,29.16055003625936,2025
8. Kennedy,15,1,47,5,2,2,2,1,3,1,2,4.6355705,-74.1785334,30.47489892672244,2025
8. Kennedy,15,2,25,7,2,2,3,2,3,2,2,4.635935,-74.1782392,34.87061914266878,2025
8. Kennedy,15,2,36,8,2,2,3,3,3,2,2,4.6357959,-74.1784884,34.85808767725037,2025
8. Kennedy,15,1,43,7,2,1,4,4,1,4,2,4.635997,-74.1771676,34.98282494647756,2025
8. Kennedy,15,2,32,7,2,2,2,2,3,1,1,4.6361111,-74.1771848,36.97557774929498,2025
8. Kennedy,15,2,22,7,2,1,4,2,3,1,2,4.6362067,-74.1767934,28.50863212664502,2025
8. Kennedy,15,2,24,5,2,2,3,1,3,1,2,4.6353986,-74.1772654,28.50863212664502,2025
6. Tunjuelito,19,1,58,8,2,2,3,2,3,3,2,4.5671585,-74.1290376,51.19818231913407,2025
5. Usme,5,1,55,7,2,2,3,1,3,1,2,4.5022916,-74.1141545,202.1976077276108,2025
5. Usme,5,2,61,4,2,1,3,1,3,1,2,4.5020871,-74.1141646,152.9450713547537,2025
5. Usme,5,2,76,3,2,1,3,1,3,3,1,4.5022183,-74.1143267,189.6625482862352,2025
3. Santa Fe,23,2,51,4,3,2,1,1,3,1,2,4.6126625,-74.0719445,75.1912445766803,2025
8. Kennedy,15,2,62,3,3,2,3,1,2,2,2,4.635728,-74.1789392,22.94687862691194,2025
8. Kennedy,15,2,61,4,2,2,1,1,3,1,2,4.6361962,-74.1769076,22.94687862691194,2025
8. Kennedy,15,2,25,7,2,1,4,2,2,1,2,4.6361976,-74.1770295,34.87061914266878,2025
8. Kennedy,15,2,67,5,2,2,1,1,3,1,1,4.6361891,-74.1769235,21.45347453417756,2025
8. Kennedy,15,2,25,7,2,2,3,5,3,1,2,4.6357932,-74.1773854,34.87061914266878,2025
11. Suba,28,2,39,5,2,2,1,3,2,1,2,4.7432414,-74.1001403,549.0160007094867,2025
