ANIO,NOMBRE_UPZ,NOMBRE_LOCALIDAD,total_comparendos,comparendos_seguridad,tasa_seguridad
2025,CHICO LAGO,CHAPINERO,15087,3465.0,0.2296679260290316
2025,CIUDAD JARDIN,ANTONIO NARI?O,4804,1461.0,0.30412156536219814
2025,CIUDAD MONTES,PUENTE ARANDA,2744,988.0,0.36005830903790087
2025,CIUDAD SALITRE OCCIDENTAL,FONTIBON,1936,603.0,0.3114669421487603
2025,CIUDAD SALITRE ORIENTAL,TEUSAQUILLO,673,362.0,0.537890044576523
2025,CIUDAD USME,USME,1111,915.0,0.8235823582358236
2025,COMUNEROS,USME,3438,2585.0,0.751890634089587
2025,CORABASTOS,KENNEDY,10430,5616.0,0.5384467881112176
2025,COUNTRY CLUB,USAQUEN,580,148.0,0.25517241379310346
2025,DANUBIO,USME,10270,3563.0,0.3469328140214216
2025,DIANA TURBAY,RAFAEL URIBE URIBE,3624,2265.0,0.625
2025,DOCE DE OCTUBRE,BARRIOS UNIDOS,3921,1257.0,0.3205814843152257
2025,EL MOCHUELO,CIUDAD BOLIVAR,17,4.0,0.23529411764705882
2025,EL PORVENIR,BOSA,5944,3123.0,0.5254037685060565
2025,EL PRADO,SUBA,3977,1102.0,0.2770932863967815
2025,EL REFUGIO,CHAPINERO,2214,830.0,0.3748870822041554
2025,EL RINCON,SUBA,11170,3659.0,0.3275738585496867
2025,EL TESORO,CIUDAD BOLIVAR,2302,1193.0,0.5182450043440486
2025,ENGATIVA,ENGATIVA,4891,2610.0,0.5336332038437948
2025,FONTIBON,FONTIBON,3490,1702.0,0.4876790830945559
2025,FONTIBON SAN PABLO,FONTIBON,811,444.0,0.5474722564734895
2025,GALERIAS,TEUSAQUILLO,4025,1560.0,0.3875776397515528
2025,GARCES NAVAS,ENGATIVA,2908,1937.0,0.6660935350756534
2025,GRAN BRITALIA,KENNEDY,6019,3684.0,0.6120618042864263
2025,GRAN YOMASA,USME,5293,4120.0,0.7783865482713017
2025,GRANJAS DE TECHO,FONTIBON,834,404.0,0.4844124700239808
2025,GUAYMARAL,SUBA,174,104.0,0.5977011494252874
2025,ISMAEL PERDOMO,CIUDAD BOLIVAR,5493,2163.0,0.3937738940469689
