NUMERO,corredor,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,seguridad_empeoro,fue_victima,indice_satisfaccion
353,2,9/10/2024 10:00:37 a. m.,3,2,4.0,2.0,1.0,0,20,80,0,0,2,4,3,3,2,2,2,2,2,1,2,3,3,5,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,,,4,5,,7,3,5,3,2,22,4,5,Primera Línea Metro,Pequeña,1,1,0,2.3333333333333335
354,2,9/10/2024 9:51:26 a. m.,2,2,2.0,1.0,,0,0,100,0,0,4,1,1,1,2,1,1,1,5,1,1,1,5,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,,,3,4,,6,,5,5,1,1,43,2,16,Primera Línea Metro,Pequeña,1,1,0,1.6666666666666667
355,2,9/10/2024 9:34:12 a. m.,3,2,4.0,2.0,,0,0,70,0,30,1,1,2,1,2,1,1,4,1,1,1,2,2,5,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,,2,3,4,,,,5,5,5,2,50,3,5,Primera Línea Metro,Pequeña,1,1,1,1.5
356,2,9/10/2024 10:28:40 a. m.,2,4,5.0,1.0,2.0,50,25,25,0,0,5,5,3,5,3,3,5,5,5,3,5,3,1,5,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,,3,4,,,7,1,1,1,1,44,3,5,Primera Línea Metro,Grande,0,1,0,4.166666666666667
357,2,9/10/2024 10:27:41 a. m.,2,2,1.0,1.0,,100,0,0,0,0,3,5,2,3,3,3,3,2,2,3,5,3,4,3,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,1,,3,4,,,,3,2,2,2,37,3,5,Primera Línea Metro,Pequeña,1,1,1,3.0833333333333335
358,2,9/10/2024 10:38:45 a. m.,1,2,1.0,1.0,,100,0,0,0,0,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,,,3,4,,,7,1,1,1,2,28,1,5,Primera Línea Metro,Pequeña,1,0,0,1.3333333333333333
359,2,9/10/2024 10:37:54 a. m.,2,2,1.0,1.0,,100,0,0,0,0,1,1,1,1,1,1,3,1,1,1,1,3,4,5,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,2,3,,,,7,1,1,1,2,58,4,5,Primera Línea Metro,Pequeña,1,1,0,1.3333333333333333
360,2,9/10/2024 10:26:15 a. m.,92,2,1.0,1.0,,0,0,100,0,0,3,1,2,3,1,2,1,3,1,4,1,4,5,5,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,,,4,,6,,1,1,1,1,56,4,5,Primera Línea Metro,Pequeña,1,0,1,2.1666666666666665
361,2,9/10/2024 10:39:41 a. m.,3,2,1.0,1.0,,0,0,100,0,0,1,1,5,5,2,1,1,2,1,1,1,5,5,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,1,1,2,3,,,,,1,5,5,2,54,4,5,Primera Línea Metro,Pequeña,1,1,1,2.1666666666666665
362,2,9/10/2024 10:35:57 a. m.,2,2,1.0,1.0,,0,0,100,0,0,4,1,3,4,3,4,2,3,2,3,2,3,1,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,2,,4,,,7,5,4,5,2,42,2,5,Primera Línea Metro,Pequeña,1,1,0,2.8333333333333335
